prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,negative_prompt
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,566383,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,78513,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,85327,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,154365,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,707548,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,19506,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,162904,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,139475,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,324540,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,38460,1,False,autocast,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,
coffee cow,outputs/txt2img-samples,False,False,30,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,,1,False,full,png,plms,checkpoints/v1-5-pruned-emaonly.ckpt,"deformed, out of frame, duplicate"
